ibge,Município,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
410010,Abatiá,436,443,414,404,495,593,530,505,503,538,571,513,447,329,263,191,233
410020,Adrianópolis,457,441,369,366,428,469,369,402,345,367,383,360,308,267,182,151,193
410030,Agudos,701,676,587,600,805,799,623,656,645,662,659,648,515,323,233,168,170
410040,Almirante,10488,9815,9112,9371,11060,10372,9356,8923,8178,7841,7088,5693,4565,3357,2189,1356,1277
410045,Altamira,102,108,98,111,114,121,101,112,115,105,136,124,89,87,60,44,55
412862,Alto,172,168,144,160,172,189,187,173,202,214,215,198,165,109,78,68,71
410060,Alto,986,964,919,992,1097,1194,1082,1055,1062,1044,1076,916,829,585,400,300,358
410070,Alto,613,626,602,584,685,782,707,716,657,660,701,643,514,382,332,252,322
410050,Altônia,1464,1486,1435,1428,1597,1709,1689,1641,1478,1397,1476,1286,1122,943,791,530,704
410080,Alvorada,732,717,719,736,756,860,866,809,749,800,818,777,694,552,361,252,305
410090,Amaporã,504,505,483,482,504,541,531,420,431,400,419,345,263,201,99,77,127
410100,Ampére,1335,1311,1274,1376,1602,1584,1479,1377,1291,1268,1270,1226,940,684,515,368,411
410105,Anahy,186,188,162,149,200,204,169,179,227,177,198,153,162,139,108,89,98
410110,Andirá,1215,1211,1177,1202,1285,1395,1396,1423,1457,1419,1438,1343,1080,1000,745,542,598
410115,Ângulo,186,186,178,181,210,233,242,210,195,211,204,200,165,107,83,67,72
410120,Antonina,1418,1363,1178,1204,1428,1437,1253,1235,1258,1196,1243,1293,975,801,617,479,571
410130,Antônio,475,484,424,430,508,581,492,467,543,546,605,530,410,352,232,154,194
410140,Apucarana,8827,8838,8842,9164,10074,10592,10641,10354,9922,8869,9197,7879,6871,5629,4233,2930,3372
410150,Arapongas,8076,7971,8165,8731,9776,9478,10031,9871,9401,8561,8166,7180,5888,4692,3482,2452,2889
410160,Arapoti,2262,2140,1966,2071,2403,2481,1999,2031,1953,1843,1778,1645,1216,896,678,440,498
410165,Arapuã,170,178,153,146,194,249,185,188,197,187,246,198,183,148,140,114,133
410170,Araruna,839,842,832,880,1042,1163,1052,902,987,1010,1043,899,723,628,447,321,390
410180,Araucária,11277,10714,10469,11927,13513,12702,11924,11488,10669,9697,8590,7288,5696,4232,2712,1633,1683
410185,Ariranha,126,125,110,105,111,145,134,141,134,153,162,153,124,110,91,67,75
410190,Assaí,973,981,919,857,969,1132,1087,1055,952,1027,990,958,820,728,577,434,495
410200,Assis,1848,1930,1893,1991,2212,2566,2342,2243,2350,2426,2568,2230,1878,1591,1224,977,1059
410210,Astorga,1561,1622,1618,1520,1733,2014,1956,1831,1808,1759,1884,1707,1507,1252,948,661,828
410220,Atalaia,178,194,187,206,265,276,247,275,263,303,350,290,239,203,163,114,128
410230,Balsa,943,930,886,870,1086,1093,1032,977,937,940,883,730,647,434,298,195,211
410240,Bandeirantes,1985,1959,1916,1972,2156,2302,2362,2218,2046,2076,2222,2077,1764,1422,1112,730,892
410250,Barbosa,666,698,624,588,728,852,802,758,734,817,872,838,642,570,451,339,447
410270,Barra,133,137,133,140,158,227,219,188,191,180,210,221,178,156,123,93,94
410260,Barracão,660,639,575,648,853,899,798,795,707,675,622,679,570,423,310,219,240
410275,Bela,213,208,177,186,222,254,204,207,204,232,296,286,249,176,143,97,103
410280,Bela,903,906,870,898,1071,1137,1093,1062,1031,1002,1080,1051,919,726,628,431,591
410290,Bituruna,1471,1374,1191,1240,1430,1335,1177,1128,1131,1049,972,813,618,560,382,249,280
410300,Boa,205,211,203,229,236,271,279,288,284,308,344,332,270,182,150,121,134
410302,Boa,161,156,132,177,180,186,166,206,165,208,193,136,136,101,68,46,53
410304,Boa,518,479,405,435,540,583,495,469,466,443,361,352,252,222,141,105,99
410305,Boa,559,541,449,460,530,556,434,504,528,569,495,429,411,359,275,227,214
410310,Bocaiúva,1200,1113,973,1007,1204,1044,935,949,893,854,708,633,527,393,292,185,219
410315,Bom,224,230,191,165,218,281,205,206,241,237,249,215,227,211,159,114,133
410320,Bom,487,471,443,471,565,583,534,507,491,458,519,431,317,243,211,145,192
410322,Bom,182,189,180,175,211,287,254,201,215,218,247,241,189,160,127,91,87
410330,Borrazópolis,322,334,313,287,374,485,432,410,415,525,481,523,408,372,276,211,271
410335,Braganey,340,335,311,355,354,410,405,366,368,374,411,386,306,213,156,147,145
410337,Brasilândia,140,146,139,136,151,208,173,153,186,175,232,218,141,129,88,79,91
410340,Cafeara,171,181,172,193,199,258,249,219,195,209,240,210,154,98,75,64,67
410345,Cafelândia,1285,1265,1260,1369,1648,1493,1462,1422,1313,1342,1303,1024,755,578,378,273,286
410347,Cafezal,218,223,210,212,258,287,264,270,266,305,349,290,224,217,150,102,164
410350,Califórnia,561,585,575,551,617,674,662,593,530,525,665,516,449,348,296,208,251
410360,Cambará,1601,1601,1570,1642,1770,1922,1949,1813,1793,1708,1711,1645,1368,1095,898,588,792
410370,Cambé,6840,6758,6640,7337,8353,8077,8277,7979,7875,7512,7428,6294,5443,4429,3318,2209,2572
410380,Cambira,473,476,476,502,533,593,639,573,547,541,529,526,453,365,266,193,232
410390,Campina,918,937,843,786,935,1106,940,864,984,988,1026,918,793,659,540,363,443
410395,Campina,323,294,256,280,320,296,258,265,257,274,258,238,191,144,88,63,54
410400,Campina,3691,3510,3263,3320,3990,3606,3366,3308,3032,2834,2622,2101,1768,1291,854,556,573
410405,Campo,252,245,214,242,295,356,258,228,270,262,287,230,158,152,131,75,108
410410,Campo,715,671,597,604,739,669,606,551,581,493,496,394,302,228,161,110,128
410420,Campo,9446,9207,8893,9573,11316,11249,10370,10441,10462,9431,8813,7479,5818,4374,3011,1948,2034
410425,Campo,2360,2279,2146,2194,2661,2591,2274,2175,2095,2022,1919,1562,1250,886,595,379,352
410430,Campo,6020,6007,5907,6361,7349,7998,7812,7342,6675,6522,6373,5853,4872,3743,2711,1849,2094
410440,Cândido,1180,1105,913,894,1118,1195,951,1026,1033,1023,999,916,785,596,450,313,312
410442,Candói,1336,1259,1115,1199,1357,1349,1080,1106,1141,1092,1061,896,707,514,365,241,235
410445,Cantagalo,1151,1087,918,943,1127,1107,899,844,901,891,831,730,619,490,328,229,234
410450,Capanema,1139,1144,1065,1161,1351,1578,1337,1368,1307,1364,1376,1281,1125,866,691,476,519
410460,Capitão,1072,1068,998,1022,1197,1215,1137,1148,1101,1114,1034,949,779,691,519,398,392
410465,Carambeí,2241,2071,1962,2063,2201,2032,1708,1782,1697,1460,1221,1066,835,548,408,259,271
410470,Carlópolis,934,908,863,926,1025,1082,1072,1097,956,973,951,992,812,631,465,298,371
410480,Cascavel,22678,22171,22257,23767,27550,28980,28509,26367,23848,22144,20688,18208,14800,11651,8089,5067,5559
410490,Castro,6362,5984,5490,5593,6131,5829,5245,5108,4998,4585,4101,3499,2852,2189,1566,1121,1156
410500,Catanduvas,750,755,678,658,807,859,768,691,711,731,691,542,470,367,275,204,210
410510,Centenário,607,620,580,627,774,884,793,798,788,785,809,712,608,477,333,254,315
410520,Cerro,1516,1403,1157,1304,1541,1442,1244,1343,1239,1133,1058,985,757,633,432,313,333
410530,Céu,727,720,681,752,887,975,906,828,833,874,829,748,606,504,388,268,293
410540,Chopinzinho,1268,1244,1162,1213,1371,1502,1434,1354,1221,1336,1357,1259,1009,845,655,428,509
410550,Cianorte,5358,5352,5499,5604,6661,7046,7002,6541,6076,5868,5683,4825,3759,2988,2231,1484,1839
410560,Cidade,904,883,839,924,1052,1070,991,948,956,873,855,720,551,422,303,217,289
410570,Clevelândia,1238,1204,1079,1070,1300,1315,1052,1049,1003,1049,1082,1102,888,665,510,373,471
410580,Colombo,19934,18781,17908,19876,22748,20927,19290,19005,18030,16472,14390,12001,9671,7097,4702,2896,2812
410590,Colorado,1249,1263,1278,1451,1666,1787,1879,1795,1817,1769,1780,1687,1451,1127,820,584,739
410600,Congonhinhas,602,599,546,532,616,757,631,580,603,593,630,605,458,351,286,196,272
410610,Conselheiro,266,253,232,230,289,325,295,261,262,291,251,227,203,173,126,82,110
410620,Contenda,1399,1363,1300,1448,1578,1431,1457,1349,1459,1251,1210,1028,807,648,495,294,320
410630,Corbélia,1092,1109,1074,1072,1298,1430,1351,1242,1054,1129,1245,1086,887,697,511,375,465
410640,Cornélio,2665,2698,2753,2889,3146,3465,3612,3577,3434,3182,3339,3151,2855,2448,1866,1201,1561
410645,Coronel,717,656,555,539,696,685,559,528,481,481,457,361,269,191,158,91,94
410650,Coronel,1306,1300,1217,1255,1460,1693,1472,1427,1343,1292,1447,1333,1207,974,715,512,627
410655,Corumbataí,180,180,155,162,170,251,196,213,240,222,241,239,182,157,134,96,109
410680,Cruz,1411,1317,1152,1464,1599,1493,1413,1378,1375,1283,1161,1089,833,608,442,343,380
410657,Cruzeiro,295,284,261,298,301,343,308,279,258,297,298,278,225,187,120,90,118
410660,Cruzeiro,1268,1284,1234,1221,1460,1589,1474,1460,1562,1542,1486,1369,1157,896,727,523,695
410670,Cruzeiro,279,279,271,271,294,338,346,336,290,328,326,284,251,206,123,104,123
410685,Cruzmaltina,172,175,155,138,186,258,182,217,224,228,227,194,174,134,92,73,92
410690,Curitiba,117014,115886,122875,137071,148846,145361,154887,161644,152862,134716,124222,114583,98391,79936,58228,36769,45335
410700,Curiúva,1172,1127,1000,998,1212,1260,1163,1110,1036,1017,946,859,764,525,384,305,318
410715,Diamante,406,423,420,344,368,420,376,319,316,316,332,361,226,210,171,128,130
410710,Diamante,280,288,278,281,317,366,348,322,329,380,381,357,287,238,220,167,191
410712,Diamante,283,267,206,209,294,315,217,241,255,246,231,219,102,110,98,56,75
410720,Dois,2774,2698,2629,2892,3282,3523,3391,3082,2881,2764,2664,2420,1961,1534,1044,671,828
410725,Douradina,589,594,587,559,627,682,701,725,669,619,604,545,418,318,236,162,234
410730,Doutor,260,279,295,339,387,465,404,386,361,412,501,498,400,298,252,197,249
412863,Doutor,489,440,351,411,464,509,382,354,397,390,318,302,223,179,144,96,103
410740,Enéas,358,369,348,354,383,469,423,413,395,439,466,448,376,244,188,122,138
410750,Engenheiro,825,807,801,914,1031,1073,1031,1007,943,989,1059,961,748,623,476,305,388
410753,Entre,277,287,300,305,316,335,340,326,329,326,339,300,236,214,156,110,100
410752,Esperança,80,90,84,88,99,103,93,118,117,133,144,127,90,89,77,62,71
410754,Espigão,333,312,263,254,263,303,255,247,231,285,258,240,212,184,163,115,130
410755,Farol,208,207,180,167,205,266,190,199,222,213,214,205,166,131,97,79,92
410760,Faxinal,1211,1204,1122,1138,1327,1416,1284,1206,1087,1130,1170,1059,832,686,558,410,476
410765,Fazenda,9058,8324,7728,8761,10161,8932,7681,7353,7092,6461,5755,4854,3843,2619,1547,966,869
410770,Fênix,256,255,235,267,311,399,322,320,314,369,388,334,272,218,185,126,177
410773,Fernandes,441,414,371,407,455,480,413,366,388,407,371,325,235,201,140,84,104
410775,Figueira,512,501,441,431,542,607,503,477,522,584,524,534,418,352,288,213,247
410785,Flor,288,289,242,268,336,431,303,290,298,334,379,312,251,201,152,106,123
410780,Floraí,211,232,240,228,297,382,387,341,319,347,398,350,281,296,211,183,203
410790,Floresta,413,413,423,454,489,535,566,536,524,427,432,443,402,277,196,149,172
410800,Florestópolis,670,669,644,659,776,825,818,784,761,781,720,666,536,390,278,219,257
410810,Flórida,170,173,172,175,182,180,187,169,186,179,238,192,153,107,89,67,80
410820,Formosa,267,285,289,309,375,459,435,426,425,458,540,548,441,376,292,229,306
410830,Foz,19442,18611,17620,18613,21246,21425,19348,18497,18416,17495,16671,14867,12404,9293,6361,3991,3948
410845,Foz,397,357,294,349,381,381,277,291,302,320,269,258,223,172,119,86,80
410832,Francisco,387,402,371,341,347,493,368,346,335,396,484,406,359,305,258,180,215
410840,Francisco,6187,6078,6101,6272,7419,8023,8147,7390,6342,5701,5741,5374,4299,3348,2463,1577,1754
410850,General,1205,1102,959,1157,1274,1122,961,856,907,886,813,705,545,414,319,228,232
410855,Godoy,158,165,142,132,153,204,143,167,188,235,262,252,208,145,146,89,109
410860,Goioerê,1724,1730,1668,1836,2038,2136,2165,2098,1922,1989,2051,1978,1569,1316,989,707,892
410865,Goioxim,608,576,462,517,580,552,432,539,474,448,462,399,325,260,169,141,109
410870,Grandes,350,363,326,286,376,440,391,348,377,391,405,393,306,260,186,138,161
410880,Guaíra,2551,2513,2367,2248,2442,2528,2547,2383,2237,2274,2097,1843,1517,1282,994,674,813
410890,Guairaçá,467,464,462,420,456,533,513,473,443,404,414,433,333,266,188,153,187
410895,Guamiranga,680,663,593,566,750,822,691,648,543,576,580,534,390,277,209,134,155
410900,Guapirama,255,273,254,193,260,309,296,249,243,236,306,264,193,169,115,81,88
410910,Guaporema,123,128,126,118,171,200,175,151,144,147,172,156,115,108,77,44,86
410920,Guaraci,358,367,358,345,408,477,420,370,357,380,386,316,267,208,207,128,178
410930,Guaraniaçu,797,786,691,719,832,1008,750,849,854,866,896,799,694,581,427,331,337
410940,Guarapuava,13736,13158,12573,13871,15763,15528,13885,13159,12777,11849,11511,10364,8176,6174,4289,2871,2960
410950,Guaraqueçaba,639,592,486,517,642,620,512,543,575,487,448,373,369,252,212,153,174
410960,Guaratuba,2916,2727,2355,2367,2759,2853,2308,2398,2602,2601,2640,2563,2088,1699,1168,774,709
410965,Honório,412,380,298,306,387,405,327,352,384,394,346,303,263,221,149,87,105
410970,Ibaiti,2377,2248,2074,2146,2425,2548,2346,2390,2273,2003,1995,1888,1465,1199,861,617,726
410975,Ibema,459,432,385,441,483,577,449,386,464,453,443,380,303,230,199,142,144
410980,Ibiporã,3634,3542,3460,3736,4074,4215,4122,4102,4184,3657,3639,3300,3014,2361,1649,1101,1341
410990,Icaraíma,455,472,438,452,548,568,537,492,491,562,589,500,467,380,316,238,281
411000,Iguaraçu,276,294,288,255,325,399,390,303,324,327,326,256,212,178,120,79,88
411005,Iguatu,142,145,130,127,178,162,155,154,150,156,170,149,128,85,88,61,73
411007,Imbaú,1248,1158,1011,1012,1187,1083,907,877,911,910,710,621,508,399,297,213,230
411010,Imbituva,2657,2473,2350,2913,2967,2833,2361,2372,2357,2095,1931,1678,1334,977,679,464,499
411020,Inácio,1086,984,837,885,985,973,702,678,789,745,635,516,424,328,209,174,171
411030,Inajá,195,200,194,182,236,270,208,203,248,227,222,184,157,123,94,83,90
411040,Indianópolis,265,286,277,255,301,326,340,280,283,322,328,290,243,239,163,111,156
411050,Ipiranga,1270,1206,1084,1143,1351,1319,1168,1144,1083,984,894,756,601,469,316,220,243
411060,Iporã,803,828,783,780,926,1022,963,906,927,890,1015,939,848,681,527,375,569
411065,Iracema,117,120,118,130,136,163,164,142,146,178,194,197,121,82,83,75,85
411070,Irati,4211,4118,3978,4125,4763,5065,4729,4605,4419,4110,4060,3642,2885,2339,1591,1140,1308
411080,Iretama,640,653,574,607,698,763,612,727,714,745,753,723,535,450,332,267,305
411090,Itaguajé,309,319,301,259,308,348,336,339,265,317,286,281,245,166,130,99,138
411095,Itaipulândia,739,735,711,768,858,885,839,821,767,791,778,770,584,458,376,243,262
411100,Itambaracá,418,413,376,372,455,478,440,441,477,447,456,404,372,350,228,182,240
411110,Itambé,367,374,377,392,411,503,433,477,430,423,442,382,342,270,191,140,155
411120,Itapejara,766,776,737,749,888,1025,935,869,807,794,818,784,639,535,380,268,324
411125,Itaperuçu,2697,2462,2288,2666,2777,2525,2254,2145,2122,1836,1604,1154,833,633,467,315,292
411130,Itaúna,198,193,175,167,186,226,195,183,169,186,174,181,145,117,95,88,103
411140,Ivaí,1192,1090,972,1053,1175,1091,1047,1089,996,945,787,708,571,411,338,229,271
411150,Ivaiporã,1958,1950,1828,1833,2057,2541,2148,2362,2173,2198,2341,2224,1842,1503,1128,838,1011
411155,Ivaté,566,550,532,533,581,643,651,614,621,580,586,506,392,300,206,162,217
411160,Ivatuba,135,199,274,190,188,412,287,191,191,202,225,205,166,157,97,63,97
411170,Jaboti,328,321,282,318,382,395,320,391,409,436,392,352,295,218,187,112,165
411180,Jacarezinho,2704,2656,2582,2680,2920,3070,3084,2901,2713,2625,2484,2375,1990,1567,1218,785,968
411190,Jaguapitã,865,869,858,892,1035,1101,1114,1059,990,920,912,820,697,516,411,278,405
411200,Jaguariaíva,2965,2833,2617,2596,2978,2976,2701,2694,2489,2228,1957,1794,1441,1068,712,464,514
411210,Jandaia,1151,1186,1195,1302,1440,1686,1565,1491,1455,1426,1591,1449,1197,1002,787,570,737
411220,Janiópolis,275,284,258,264,317,397,334,308,296,376,372,401,337,287,228,168,193
411230,Japira,348,344,314,332,348,355,335,328,335,330,334,327,290,222,184,125,142
411240,Japurá,502,532,539,546,634,708,714,656,654,658,713,689,578,461,354,247,315
411250,Jardim,676,679,602,611,666,872,760,757,765,791,822,734,663,570,473,339,416
411260,Jardim,87,88,78,63,98,123,81,87,94,95,118,93,61,49,34,30,41
411270,Jataizinho,943,896,843,945,1053,986,869,917,848,802,803,743,618,479,355,257,281
411275,Jesuítas,478,498,477,412,490,581,500,521,530,666,666,617,494,423,362,273,342
411280,Joaquim,805,806,793,796,878,959,1034,932,854,749,748,721,556,458,384,236,300
411290,Jundiaí,213,215,185,202,221,235,216,186,228,224,264,217,208,150,120,80,105
411295,Juranda,379,363,336,480,529,555,515,528,550,574,582,540,419,321,237,168,216
411300,Jussara,455,447,429,495,499,578,521,483,491,491,499,449,365,253,232,160,194
411310,Kaloré,195,211,200,177,226,302,270,252,258,282,335,326,254,225,184,148,202
411320,Lapa,3468,3322,3138,3457,3804,3722,3654,3693,3544,3319,3108,2874,2371,1819,1274,875,968
411325,Laranjal,540,491,392,450,510,540,403,392,390,356,322,320,214,178,115,92,79
411330,Laranjeiras,2325,2229,2038,2280,2630,2830,2366,2222,2121,2046,2033,1801,1610,1282,926,616,784
411340,Leópolis,226,219,205,219,261,281,272,281,279,251,275,267,248,232,174,102,133
411342,Lidianópolis,168,182,172,150,150,229,189,188,192,233,301,238,226,192,156,128,137
411345,Lindoeste,291,293,244,226,282,347,284,275,313,356,367,333,278,248,191,135,129
411350,Loanda,1510,1525,1516,1545,1731,1866,1868,1744,1597,1672,1564,1368,1154,853,657,474,598
411360,Lobato,270,277,281,294,358,369,345,386,359,349,350,376,265,193,120,101,126
411370,Londrina,35477,35181,36320,39321,43177,42968,45388,44721,41902,36700,36884,34761,30166,25012,18945,12899,15555
411373,Luiziana,549,531,484,478,530,574,555,522,506,486,482,447,342,260,195,144,155
411375,Lunardelli,287,286,258,258,296,317,303,311,313,333,382,367,315,223,184,151,160
411380,Lupionópolis,281,287,281,348,366,382,354,330,330,327,402,321,224,211,175,140,186
